rep,frac,trait,scheme,n_pred,r,gain,gain_max,plots_used
0,0.1,YLD,sib,14354,0.33504,4.4138,13.06051,7798
0,0.1,YLD,two,14354,0.33504,4.4138,13.06051,7798
0,0.1,MST,sib,14351,0.55047,0.86414,1.61274,7798
0,0.1,MST,two,14351,0.55047,0.86414,1.61274,7798
0,0.1,TWT,sib,14149,0.46623,0.44637,0.97448,7798
0,0.1,TWT,two,14149,0.46623,0.44637,0.97448,7798
0,0.2,YLD,sib,12761,0.34825,4.71805,12.88559,15479
0,0.2,YLD,two,12761,0.34187,4.56919,12.88559,15479
0,0.2,MST,sib,12760,0.586,0.92385,1.61884,15479
0,0.2,MST,two,12760,0.59112,0.9269,1.61884,15479
0,0.2,TWT,sib,12581,0.48798,0.47274,0.96488,15479
0,0.2,TWT,two,12581,0.49859,0.50242,0.96488,15479
0,0.3,YLD,sib,11184,0.36159,4.3124,12.70583,23154
0,0.3,YLD,two,11184,0.35766,4.73679,12.70583,23154
0,0.3,MST,sib,11182,0.59046,0.92243,1.62297,23154
0,0.3,MST,two,11182,0.60232,0.932,1.62297,23154
0,0.3,TWT,sib,11025,0.48758,0.47337,0.95515,23154
0,0.3,TWT,two,11025,0.50288,0.49502,0.95515,23154
0,0.4,YLD,sib,9578,0.37365,5.186,12.96508,30947
0,0.4,YLD,two,9578,0.35557,4.75527,12.96508,30947
0,0.4,MST,sib,9578,0.59485,0.92449,1.60596,30947
0,0.4,MST,two,9578,0.61977,0.98305,1.60596,30947
0,0.4,TWT,sib,9437,0.49257,0.4739,0.95827,30947
0,0.4,TWT,two,9437,0.51944,0.50768,0.95827,30947
0,0.5,YLD,sib,7972,0.3711,4.93687,12.73424,38677
0,0.5,YLD,two,7972,0.37136,4.76474,12.73424,38677
0,0.5,MST,sib,7971,0.60572,0.96835,1.61457,38677
0,0.5,MST,two,7971,0.64786,1.03637,1.61457,38677
0,0.5,TWT,sib,7861,0.49135,0.48455,0.96838,38677
0,0.5,TWT,two,7861,0.53787,0.5353,0.96838,38677
0,0.6,YLD,sib,6381,0.37819,4.7237,12.84053,46410
0,0.6,YLD,two,6381,0.39111,4.86285,12.84053,46410
0,0.6,MST,sib,6378,0.589,0.90717,1.59573,46410
0,0.6,MST,two,6378,0.64263,0.99114,1.59573,46410
0,0.6,TWT,sib,6288,0.50255,0.49634,0.95966,46410
0,0.6,TWT,two,6288,0.55381,0.54489,0.95966,46410
0,0.75,YLD,sib,3992,0.36914,4.70446,12.69316,58047
0,0.75,YLD,two,3992,0.39817,5.07789,12.69316,58047
0,0.75,MST,sib,3992,0.60046,0.94503,1.60653,58047
0,0.75,MST,two,3992,0.65418,1.04622,1.60653,58047
0,0.75,TWT,sib,3941,0.49163,0.48613,0.94946,58047
0,0.75,TWT,two,3941,0.56509,0.5472,0.94946,58047
1,0.1,YLD,sib,14354,0.32662,4.64783,13.19573,7755
1,0.1,YLD,two,14354,0.32662,4.64783,13.19573,7755
1,0.1,MST,sib,14352,0.55026,0.88387,1.62144,7755
1,0.1,MST,two,14352,0.55026,0.88387,1.62144,7755
1,0.1,TWT,sib,14151,0.46632,0.46562,0.98237,7755
1,0.1,TWT,two,14151,0.46632,0.46562,0.98237,7755
1,0.2,YLD,sib,12761,0.35816,4.73206,12.89448,15556
1,0.2,YLD,two,12761,0.35855,4.81216,12.89448,15556
1,0.2,MST,sib,12758,0.59845,0.94373,1.64267,15556
1,0.2,MST,two,12758,0.59663,0.92618,1.64267,15556
1,0.2,TWT,sib,12582,0.48856,0.48016,0.9703,15556
1,0.2,TWT,two,12582,0.49112,0.50806,0.9703,15556
1,0.3,YLD,sib,11184,0.36807,4.74877,12.91828,23181
1,0.3,YLD,two,11184,0.34906,4.60256,12.91828,23181
1,0.3,MST,sib,11181,0.59638,0.90817,1.61967,23181
1,0.3,MST,two,11181,0.60896,0.93549,1.61967,23181
1,0.3,TWT,sib,11023,0.49178,0.46996,0.96483,23181
1,0.3,TWT,two,11023,0.50588,0.4996,0.96483,23181
1,0.4,YLD,sib,9578,0.37386,4.71685,12.78804,30921
1,0.4,YLD,two,9578,0.36361,4.56442,12.78804,30921
1,0.4,MST,sib,9577,0.59904,0.92837,1.61297,30921
1,0.4,MST,two,9577,0.6274,0.98101,1.61297,30921
1,0.4,TWT,sib,9447,0.50285,0.50098,0.96626,30921
1,0.4,TWT,two,9447,0.5334,0.512,0.96626,30921
1,0.5,YLD,sib,7972,0.37801,4.77613,12.79552,38753
1,0.5,YLD,two,7972,0.38018,4.61668,12.79552,38753
1,0.5,MST,sib,7969,0.58413,0.91552,1.59305,38753
1,0.5,MST,two,7969,0.6263,0.95597,1.59305,38753
1,0.5,TWT,sib,7858,0.49609,0.47665,0.9568,38753
1,0.5,TWT,two,7858,0.53137,0.53056,0.9568,38753
1,0.6,YLD,sib,6381,0.36983,4.843,12.94628,46456
1,0.6,YLD,two,6381,0.38472,4.74097,12.94628,46456
1,0.6,MST,sib,6381,0.59573,0.94073,1.62353,46456
1,0.6,MST,two,6381,0.64698,1.03742,1.62353,46456
1,0.6,TWT,sib,6293,0.50607,0.49808,0.97103,46456
1,0.6,TWT,two,6293,0.55091,0.53296,0.97103,46456
1,0.75,YLD,sib,3992,0.36904,4.85401,12.6072,57992
1,0.75,YLD,two,3992,0.39633,4.62638,12.6072,57992
1,0.75,MST,sib,3992,0.6039,0.983,1.6029,57992
1,0.75,MST,two,3992,0.6636,1.04013,1.6029,57992
1,0.75,TWT,sib,3937,0.48661,0.45669,0.94659,57992
1,0.75,TWT,two,3937,0.55981,0.54993,0.94659,57992
2,0.1,YLD,sib,14354,0.32284,4.37798,13.01184,7770
2,0.1,YLD,two,14354,0.32284,4.37798,13.01184,7770
2,0.1,MST,sib,14351,0.56364,0.82362,1.61594,7770
2,0.1,MST,two,14351,0.56364,0.82362,1.61594,7770
2,0.1,TWT,sib,14152,0.44741,0.41113,0.96709,7770
2,0.1,TWT,two,14152,0.44741,0.41113,0.96709,7770
